分箱左边界,分箱右边界,分箱中心值,胜率,样本数量,样本占比
-3835.001,-3451.5,-3654.25,0.2916666666666667,24,0.0020198619760983
-3451.5,-3068.0,-3257.62,0.38,50,0.004208045783538125
-3068.0,-2684.5,-2862.7727272727275,0.3333333333333333,66,0.005554620434270325
-2684.5,-2301.0,-2493.358974358974,0.2948717948717949,78,0.006564551422319475
-2301.0,-1917.5,-2092.748427672956,0.33962264150943394,159,0.013381585591651236
-1917.5,-1534.0,-1708.6970954356846,0.3112033195020747,241,0.02028278067665376
-1534.0,-1150.5,-1324.521850899743,0.32390745501285345,389,0.03273859619592661
-1150.5,-767.0,-939.269406392694,0.3729071537290715,657,0.05529372159569096
-767.0,-383.5,-551.6828266228431,0.4149548069022186,1217,0.10242383437131795
-383.5,0.0,-155.6361861373251,0.46404165310771234,3073,0.25862649385625314
0.0,383.5,156.96422710863143,0.5362651788644568,3047,0.25643831004881334
383.5,767.0,552.2122950819672,0.5836065573770491,1220,0.10267631711833025
767.0,1150.5,940.059633027523,0.6299694189602446,654,0.055041238848678675
1150.5,1534.0,1324.521850899743,0.6760925449871465,389,0.03273859619592661
1534.0,1917.5,1708.6970954356846,0.6887966804979253,241,0.02028278067665376
1917.5,2301.0,2092.748427672956,0.660377358490566,159,0.013381585591651236
2301.0,2684.5,2493.358974358974,0.7051282051282052,78,0.006564551422319475
2684.5,3068.0,2862.7727272727275,0.6666666666666666,66,0.005554620434270325
3068.0,3451.5,3257.62,0.62,50,0.004208045783538125
3451.5,3835.0,3654.25,0.7083333333333334,24,0.0020198619760983
