subset,n,or0,or3,wald_r_adj,ame_adj,r2_m0,r2_m3,confound_pct
创意+指令+代码,113,2.2112,1.8378,0.1009,0.1521,0.0344,0.1948,0.3083
创意+指令,1280,2.1493,1.8334,0.1334,0.1515,0.0389,0.0972,0.2749
指令+代码,4412,1.8263,1.5471,0.1182,0.109,0.032,0.0792,0.3379
无类别,41737,2.2213,1.5404,0.1036,0.108,0.0513,0.0959,0.5575
创意+代码,248,1.4732,1.4738,0.1382,0.0969,0.022,0.0915,-0.0014
仅创意写作,4931,1.8163,1.4735,0.1156,0.0969,0.0408,0.0798,0.4199
仅代码,15088,1.7041,1.3666,0.0903,0.0781,0.0314,0.0793,0.4793
全量,78970,1.9045,1.3551,0.0817,0.076,0.0339,0.0834,0.6074
仅指令遵循,5098,1.7289,1.2594,0.0691,0.0576,0.027,0.0733,0.6442
仅数学,3663,1.6128,1.1766,0.05,0.0407,0.0223,0.0777,0.7119
数学+代码,928,1.385,1.1535,0.0508,0.0357,0.0157,0.0811,0.6012
指令+数学,848,1.351,1.0124,0.0052,0.0031,0.0092,0.151,0.9646
指令+数学+代码,591,1.2845,,,,0.0101,,
