variable,ability_diff,verbosity_diff,format_tendency_diff,user_tokens,turns,token_diff_ab,header_density_diff,bold_density_diff,list_density_diff,winner_a
ability_diff,1.0,0.7584091171275272,0.5958253563196139,-0.0027099146976779487,-0.0012826559409356629,0.34889019282287653,0.12745572788435008,0.26808945478830676,-0.08521574853423651,0.3192844246348359
verbosity_diff,0.7584091171275272,1.0,0.8257134052759917,-0.003935910005721517,0.0012222897083219713,0.45604957679994906,-0.0008301326166109916,0.3060436277850301,-0.02200003388691781,0.24093353043794988
format_tendency_diff,0.5958253563196139,0.8257134052759917,1.0,-0.00313532186569092,0.0010986765916309372,0.37778213325480847,0.19677739549771006,0.5121441582413424,0.13631630128370814,0.1905152257552367
user_tokens,-0.0027099146976779487,-0.003935910005721517,-0.00313532186569092,1.0,0.12096030154149204,-0.017173838456341177,-0.0014622245448582376,-0.0047200790972626375,-0.007948746154840968,0.0025465752394703816
turns,-0.0012826559409356629,0.0012222897083219713,0.0010986765916309372,0.12096030154149204,1.0,0.013641878272652766,-0.00032984385764933135,0.0011764032345141504,0.0005820042571607185,-0.0024399755785257035
token_diff_ab,0.34889019282287653,0.45604957679994906,0.37778213325480847,-0.017173838456341177,0.013641878272652766,1.0,-0.010631278469944964,0.1323704253178797,-0.03841017432425657,0.17781432637482428
header_density_diff,0.12745572788435008,-0.0008301326166109916,0.19677739549771006,-0.0014622245448582376,-0.00032984385764933135,-0.010631278469944964,1.0,0.32399669134274933,0.14821656627659235,0.0685237728418345
bold_density_diff,0.26808945478830676,0.3060436277850301,0.5121441582413424,-0.0047200790972626375,0.0011764032345141504,0.1323704253178797,0.32399669134274933,1.0,0.2375650080518217,0.115621117865743
list_density_diff,-0.08521574853423651,-0.02200003388691781,0.13631630128370814,-0.007948746154840968,0.0005820042571607185,-0.03841017432425657,0.14821656627659235,0.2375650080518217,1.0,-0.012664133476888308
winner_a,0.3192844246348359,0.24093353043794988,0.1905152257552367,0.0025465752394703816,-0.0024399755785257035,0.17781432637482428,0.0685237728418345,0.115621117865743,-0.012664133476888308,1.0
