子集,格式特征,样本量,粗模型 OR（F0）,完整模型 OR（F3）,F0 pseudo-R²,F3 pseudo-R²,混淆解释比例（%）
无类别,粗体密度差,"41,737",1.143,1.079,0.058,0.098,45.1
无类别,标题密度差,"41,737",1.125,1.078,0.058,0.098,37.3
无类别,列表密度差,"41,737",0.967,1.056,0.058,0.098,268.2
全量,粗体密度差,"78,970",1.157,1.085,0.041,0.085,45.6
全量,标题密度差,"78,970",1.113,1.061,0.041,0.085,46.5
全量,列表密度差,"78,970",0.940,1.025,0.041,0.085,141.3
创意+指令,粗体密度差,"1,280",1.018,1.062,0.041,0.099,-246.3
创意+指令,标题密度差,"1,280",1.062,1.059,0.041,0.099,4.8
创意+指令,列表密度差,"1,280",0.905,0.955,0.041,0.099,52.6
仅代码,粗体密度差,"15,088",1.103,1.089,0.040,0.081,13.4
仅代码,标题密度差,"15,088",1.172,1.052,0.040,0.081,69.4
仅代码,列表密度差,"15,088",0.878,0.964,0.040,0.081,70.6
创意+指令+代码,粗体密度差,113,1.125,1.885,0.040,0.223,-609.7
创意+指令+代码,标题密度差,113,1.049,1.040,0.040,0.223,19.0
创意+指令+代码,列表密度差,113,0.842,0.964,0.040,0.223,77.3
指令+数学,粗体密度差,848,1.307,1.039,0.022,0.152,87.3
指令+数学,标题密度差,848,0.958,1.039,0.022,0.152,194.8
指令+数学,列表密度差,848,0.883,1.041,0.022,0.152,135.2
仅指令遵循,粗体密度差,"5,098",1.130,1.057,0.032,0.074,56.2
仅指令遵循,标题密度差,"5,098",1.030,1.039,0.032,0.074,-32.0
仅指令遵循,列表密度差,"5,098",0.890,0.993,0.032,0.074,93.4
仅创意写作,粗体密度差,"4,931",1.035,1.002,0.042,0.080,93.0
仅创意写作,标题密度差,"4,931",1.036,1.016,0.042,0.080,55.5
仅创意写作,列表密度差,"4,931",1.018,1.044,0.042,0.080,-147.0
数学+代码,粗体密度差,928,1.153,1.150,0.021,0.083,1.7
数学+代码,标题密度差,928,1.075,0.989,0.021,0.083,114.5
数学+代码,列表密度差,928,0.915,1.012,0.021,0.083,114.0
指令+代码,粗体密度差,"4,412",1.059,1.077,0.037,0.081,-30.4
指令+代码,标题密度差,"4,412",1.022,0.967,0.037,0.081,248.1
指令+代码,列表密度差,"4,412",0.834,0.925,0.037,0.081,55.0
仅数学,粗体密度差,"3,663",1.202,1.030,0.028,0.079,84.9
仅数学,标题密度差,"3,663",0.986,0.952,0.028,0.079,-238.0
仅数学,列表密度差,"3,663",1.011,1.065,0.028,0.079,-497.0
创意+代码,粗体密度差,248,0.981,0.974,0.023,0.098,-36.5
创意+代码,标题密度差,248,0.946,0.818,0.023,0.098,-239.0
创意+代码,列表密度差,248,0.970,1.060,0.023,0.098,300.7
指令+数学+代码,粗体密度差,591,1.307,,0.028,,
指令+数学+代码,标题密度差,591,1.075,,0.028,,
指令+数学+代码,列表密度差,591,0.775,,0.028,,
