子集,样本量,更长侧获胜率（%）,粗 OR [95% CI],粗 p 值,调整 OR [95% CI],调整 p 值,IPW ATE [95% CI],有效样本量 ESS,Bootstrap 成功次数
指令+代码,"4,410",62.06,"2.672 [2.366, 3.018]",<0.001,"2.235 [1.924, 2.595]",<0.001,"0.208 [0.179, 0.252]",1960.4,30
无类别,"41,610",63.91,"3.136 [3.013, 3.264]",<0.001,"2.085 [1.981, 2.195]",<0.001,"0.166 [0.147, 0.182]",10360.2,30
仅创意写作,"4,912",61.79,"2.617 [2.332, 2.936]",<0.001,"1.994 [1.733, 2.294]",<0.001,"0.175 [0.151, 0.212]",2212.6,30
全量,"78,783",62.36,"2.745 [2.667, 2.825]",<0.001,"1.910 [1.842, 1.982]",<0.001,"0.149 [0.135, 0.161]",20592.0,30
仅代码,"15,081",60.98,"2.443 [2.288, 2.608]",<0.001,"1.776 [1.625, 1.940]",<0.001,"0.156 [0.113, 0.190]",2414.1,30
创意+指令,"1,278",58.92,"2.058 [1.647, 2.572]",<0.001,"1.673 [1.281, 2.186]",<0.001,"0.071 [-0.024, 0.123]",692.2,30
仅指令遵循,"5,081",60.97,"2.442 [2.182, 2.734]",<0.001,"1.615 [1.405, 1.856]",<0.001,"0.094 [0.056, 0.134]",1652.2,30
创意+代码,248,55.65,"1.605 [0.968, 2.661]",0.067,"1.347 [0.704, 2.578]",0.369,"0.073 [-0.047, 0.177]",160.6,30
仅数学,"3,654",58.43,"1.976 [1.732, 2.254]",<0.001,"1.340 [1.134, 1.584]",<0.001,"0.072 [0.023, 0.112]",1394.0,30
数学+代码,928,57.00,"1.757 [1.355, 2.278]",<0.001,"1.122 [0.794, 1.585]",0.513,"0.015 [-0.108, 0.106]",200.3,30
指令+数学,846,58.39,"1.968 [1.497, 2.587]",<0.001,"1.066 [0.739, 1.537]",0.734,"0.097 [0.017, 0.210]",191.0,30
创意+指令+代码,113,53.98,"1.385 [0.658, 2.914]",0.390,"0.688 [0.237, 1.994]",0.491,"0.085 [-0.149, 0.312]",81.2,30
指令+数学+代码,589,58.23,"1.949 [1.404, 2.704]",<0.001,,,"0.117 [0.008, 0.220]",199.2,30
