子集,样本量,更长侧获胜率（%）,粗 OR,调整 OR,IPW ATE,调整 p 值,有效样本量 ESS
指令+代码,"4,410",62.06,2.672,2.235,0.208,<0.001,1960.4
无类别,"41,610",63.91,3.136,2.085,0.166,<0.001,10360.2
仅创意写作,"4,912",61.79,2.617,1.994,0.175,<0.001,2212.6
全量,"78,783",62.36,2.745,1.910,0.149,<0.001,20592.0
仅代码,"15,081",60.98,2.443,1.776,0.156,<0.001,2414.1
创意+指令,"1,278",58.92,2.058,1.673,0.071,<0.001,692.2
仅指令遵循,"5,081",60.97,2.442,1.615,0.094,<0.001,1652.2
创意+代码,248,55.65,1.605,1.347,0.073,0.369,160.6
仅数学,"3,654",58.43,1.976,1.340,0.072,<0.001,1394.0
数学+代码,928,57.00,1.757,1.122,0.015,0.513,200.3
指令+数学,846,58.39,1.968,1.066,0.097,0.734,191.0
创意+指令+代码,113,53.98,1.385,0.688,0.085,0.491,81.2
指令+数学+代码,589,58.23,1.949,,0.117,,199.2
