变量,层级,类型,样本量,缺失率（%）,均值,标准差,中位数
粗体密度差,中介层（主模型）,连续,"78,970",0.00,0.000,0.018,0.000
标题密度差,中介层（主模型）,连续,"78,970",0.00,-0.000,0.005,0.000
回答长度差,中介层（主模型）,连续,"78,970",0.00,-3.623,1576.611,-1.000
列表密度差,中介层（扩展模型）,连续,"78,970",0.00,-0.000,0.018,0.000
能力差,外生层,连续,"78,970",0.00,-0.001,0.172,-0.000
代码任务,外生层,二值,"78,970",0.00,0.271,0.444,0.000
complexity,外生层,二值,"78,970",0.00,0.458,0.498,0.000
创意写作任务,外生层,二值,"78,970",0.00,0.084,0.277,0.000
creativity,外生层,二值,"78,970",0.00,0.513,0.500,1.000
domain_knowledge,外生层,二值,"78,970",0.00,0.811,0.392,1.000
格式倾向差,外生层,连续,"78,970",0.00,0.018,30.435,-0.032
指令遵循任务,外生层,二值,"78,970",0.00,0.157,0.363,0.000
数学任务,外生层,二值,"78,970",0.00,0.077,0.266,0.000
problem_solving,外生层,二值,"78,970",0.00,0.661,0.473,1.000
real_world,外生层,二值,"78,970",0.00,0.568,0.495,1.000
specificity,外生层,二值,"78,970",0.00,0.570,0.495,1.000
technical_accuracy,外生层,二值,"78,970",0.00,0.601,0.490,1.000
对话轮数,外生层,连续,"78,970",0.00,1.267,1.037,1.000
用户输入长度,外生层,连续,"78,970",0.00,132.203,629.852,29.000
冗长度差,外生层,连续,"78,970",0.00,0.320,689.164,0.000
A 模型获胜,结果层,二值,"78,970",0.00,0.494,0.500,0.000
